product_name,brands,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
pasta,Grappa,Beverages,1.9,6.7,6.4,0.8,c
Eirn original curry Sauce,Eirn,Beverages,29.6,5.2,18.0,1.2,not-applicable
Donut Milka,Milka,Snacks,18.0,6.0,28.0,,e
Familjepack Schnitzel Frysta,Hälsans Kök,Beverages,0.6,13.5,12.0,6.2,a
Chorizo,Teyssier,Meats,0.0,0.0,36.700000762939,,d
Chorizo,,Meats,4.0999999046326,22.299999237061,35.299999237061,,e
Poutargue de mulet,,Fish & Seafood,0.2,40.5,22.7,,e
Coca cola,Coca-Cola,Beverages,1.0,0.0,27.0,0.0,e
Saucisson sec au piment d'espelette,,Meats,0.7,24.1,33.3,,e
Chorizo,,Meats,4.0,20.9,36.7,,e
Tostadas,Ositos,Beverages,0.0,5.0,20.0,10.0,a
greek yogurt,Chobani,Dairy,9.3333333333333,7.3333333333333,1.6666666666667,0.66666666666667,unknown
boisson à l'aloe vera,Herbalife,Beverages,0.0,0.0,0.0,0.0,not-applicable
Purée de pommes de terre,Dosen Bistro,Beverages,1.64,2.27,5.64,,c
Cigarettes Fourrées Chocolat Noisettes,BIJOU,Snacks,48.0,6.0,21.0,3.5,not-applicable
Nems poulet,Picard,Meats,1.89999997615814,7.90000009536743,3.40000009536743,2.09999990463257,unknown
น้ำยาพ่นคอ,Heideboden 2021/The Blue Magnum,Beverages,9.9,10.0,5.7,3.7,unknown
Born fruta fresca deshidratada,,Beverages,56.5,5.0,10.3,9.5,unknown
pot au feu de légumes aux aromates,liebig,Beverages,3.0,1.4,0.7,0.9,c
velouté de 10 légumes,Liebig,Beverages,1.5,0.7,0.8,0.8,c
Délice de 10 Légumes,Liebig,Beverages,2.52,0.8,2.12,0.92,c
soupe à la chinoise  légumes et vermicelles,liebig,Beverages,0.5,0.6,0.4,0.7,unknown
Potiron et vermicelles,Liebig,Beverages,1.7,0.7,0.4,0.8,c
Délice de potiron châtaigne,liebig,Beverages,2.3,0.7,0.8,1.1,c
Lié big purSoup mouliné de 10 Légumes,liebig,Beverages,1.4,0.9,1.2,1.5,c
Soupe potiron et kiri,Liebig,Beverages,2.0,0.9,1.5,0.8,c
Velouté de légumes du soleil,Liebig,Beverages,1.4,0.9,1.7,0.8,c
Potiron et j’irai,Morbihan,Beverages,1.4,0.9,1.4,1.0,b
bio mouliné de legumes verts,Liebig,Beverages,1.0,1.0,0.5,1.1,c
velouté de potiron et graines de courge bio,Liebig,Beverages,1.3,0.8,0.9,1.1,c
velouté de tomates et pointe d'origan,Liebig,Beverages,2.4,0.7,0.5,1.0,b
Velouté de 10 Légumes,Liebig,Beverages,1.1,0.8,1.9,1.0,c
